nombre,edadre,edadap,genero,osexual,raza,varraza, subraza,varsubraza,grupo,rango,elemento,doble,pdlsemana,,
Adam,95,38,Masculino,Bisexual,Tsukumogami,Tsukumogami seihou,-,-,Lumiere,Ciudadano,Teragos,FALSE,TRUE,,
Adrien Vale,200,32,Masculino,Bisexual,"Humano, Demonio",Demonio súcubo,-,-,Union Tech,Corpo,Nicragos,FALSE,FALSE,,
Agatha Ambron,20,20,Femenino,Bisexual,Humano,-,-,-,Lumiere,Academia Noire,Arbamis,FALSE,TRUE,,
Akantha,90,32,Fluido,Pansexual,Dragón,Dragón occidental,-,-,Alewing,Corpo,Ventodis,FALSE,TRUE,,Cassian Bellerose
Akira Murdoch,28,28,Masculino,Heterosexual,SIA,-,Biodroide,-,Ryuulong,Heibi,Ventodis,FALSE,FALSE,,Samantha Bøe
Alaric Mortimell,58,58,Masculino,Bisexual,Humano,-,Velo,Velo abisal,Adamas,Gobierno,Sunobos,FALSE,FALSE,,Dashiell ‘Maverick’ Chase
Alaric Noor,100,21,Masculino,Homosexual,"Mestizo, Ángel, Fénix","Ángel luminoso, Fénix llameante",Velo,Velo sagrado,Titania,Ciudadano,Lumonis,FALSE,FALSE,,Yami
Alaric Vane,32,32,Masculino,Pansexual,Humano,-,Nova,-,Ryuulong,Ciudadano,Sunobos,FALSE,FALSE,,Niké Lackless
Alenya Sylmareth,40,40,Femenino,Demisexual,Elfo,Elfo silvano,Hechicero,-,Lumiere,Academia Noire,Arbamis,FALSE,FALSE,,Lyrena Baenre
Alice Rossner,21,21,Femenino,Bisexual,Fénix,Fénix llameante,Hechicero,-,Hidra,Forastero,Flamodis,FALSE,FALSE,,Kurone
Andreas Halphas,23,23,Masculino,Heterosexual,Demonio,N/A!,-,-,Lumiere,Academia Noire,Nicragos,FALSE,FALSE,,Camus Liam
Anne-Sophie Desrumaux,38,38,Femenino,Heterosexual,Sirena,Sirena marina,Elemental,Elemental de agua,Adamas,Gobierno,Akvados,FALSE,FALSE,,Asgeir Börkur
